ncessch,free_lunch_qualified,reduced_price_lunch_qualified,missing,not_applicable,no_category_codes,n
410000301061,83,8,0,0,91,176
410000301062,34,7,0,0,41,39
410000900062,59,8,0,0,67,NA
410000901592,209,30,0,0,239,320
410000901734,0,0,0,0,0,141
410000901784,37,9,0,0,46,175
410000901808,43,11,0,0,54,112
410001400748,218,47,0,0,265,506
410001400754,55,3,0,0,58,140
410001400761,124,29,0,0,153,114
410001401026,49,11,0,0,60,192
410001500821,319,39,0,0,358,422
410001500831,169,22,0,0,191,464
410001500853,186,36,0,0,222,137
410001501588,26,0,0,0,26,11
410001501859,0,0,0,0,0,46
410001601266,114,42,0,0,156,280
410001601288,74,36,0,0,110,116
410001601730,107,34,0,0,141,590
410001900698,167,53,0,0,220,341
410001900731,105,41,0,0,146,115
410001901422,84,25,0,0,109,320
410002000693,95,18,0,0,113,280
410002000765,59,21,0,0,80,381
410002000833,224,41,0,0,265,208
410002000834,298,57,0,0,355,1131
410002000854,229,61,0,0,290,282
410002101166,68,9,0,0,77,120
410002101167,56,15,0,0,71,101
410002300209,129,23,0,0,152,499
410002301168,126,28,0,0,154,381
410002301169,193,24,0,0,217,394
410002301171,313,29,0,0,342,523
410002301172,326,37,0,0,363,562
410002301173,292,29,0,0,321,468
410002301175,263,28,0,0,291,389
410002301199,191,37,0,0,228,441
410002301200,196,15,0,0,211,312
410002301201,126,29,0,0,155,598
410002301202,348,29,0,0,377,580
410002301203,116,8,0,0,124,259
410002301242,80,15,0,0,95,352
410002301243,77,18,0,0,95,404
410002301248,414,132,0,0,546,711
410002301250,228,69,0,0,297,1433
410002301251,271,58,0,0,329,1416
410002301252,539,122,0,0,661,550
410002301253,300,63,0,0,363,1320
410002301295,112,37,0,0,149,564
410002301300,108,25,0,0,133,505
410002301305,219,29,0,0,248,531
410002301306,425,102,0,0,527,730
410002301322,262,63,0,0,325,1533
410002301373,83,28,0,0,111,605
410002301499,156,31,0,0,187,696
410002301500,88,17,0,0,105,501
410002301535,10,9,0,0,19,NA
410002301585,432,122,0,0,554,651
410002301749,393,38,0,0,431,568
410002301750,202,46,0,0,248,498
410002301759,121,17,0,0,138,509
410002301764,232,36,0,0,268,420
410002301824,0,0,0,0,0,145
410002304174,112,34,0,0,146,576
410004000176,131,49,0,0,180,431
410004000179,47,23,0,0,70,NA
410004300494,149,0,0,0,149,34
410004301404,15,0,0,0,15,NA
410004301406,78,0,0,0,78,21
410004301412,0,0,0,0,0,NA
410004301413,0,0,0,0,0,NA
410004301476,0,0,0,0,0,NA
410004301477,7,0,0,0,7,NA
410004301740,21,0,0,0,21,NA
410004301744,31,0,0,0,31,10
410004700862,61,27,0,0,88,188
410004801151,376,29,0,0,405,433
410004801153,65,26,0,0,91,276
410004801155,234,20,0,0,254,366
410004801156,297,32,0,0,329,457
410004801158,404,44,0,0,448,1165
410004801159,392,44,0,0,436,364
410004801833,37,5,0,0,42,NA
410064000233,214,16,0,0,230,360
410064000234,126,22,0,0,148,155
410099000524,0,0,0,0,0,NA
410102000755,84,37,0,0,121,246
410102000756,36,10,0,0,46,14
410112000017,37,9,0,0,46,436
410112000029,28,7,0,0,35,331
