"mtry","trees","min_n",".metric",".estimator","mean","n","std_err",".config"
6,308,25,"rsq","standard",0.462405814060274,10,0.0959715458591809,"Model04"
28,37,34,"rsq","standard",0.443549544515133,10,0.0881289365854036,"Model01"
2,1009,5,"rsq","standard",0.441239790263018,10,0.103623332595342,"Model08"
8,1323,30,"rsq","standard",0.425490059009725,10,0.0910967591817371,"Model07"
10,930,12,"rsq","standard",0.415972730053913,10,0.110909319364188,"Model09"
2,1009,5,"rmse","standard",104.010511569872,10,5.76571522781593,"Model08"
6,308,25,"rmse","standard",104.37648340329,10,5.63769235970282,"Model04"
17,1963,8,"rmse","standard",104.851247105053,10,7.21300286089519,"Model02"
10,930,12,"rmse","standard",105.13105803412,10,7.13207159605151,"Model09"
14,1553,14,"rmse","standard",105.247022811753,10,7.17986562283058,"Model05"
2,1009,5,"huber_loss","standard",85.9640382469199,10,4.44643462263572,"Model08"
6,308,25,"huber_loss","standard",86.3642114408834,10,4.44221542922872,"Model04"
28,37,34,"huber_loss","standard",86.7318868445875,10,5.0863097665621,"Model01"
10,930,12,"huber_loss","standard",87.207985173247,10,5.74924245036733,"Model09"
17,1963,8,"huber_loss","standard",87.3668416431502,10,5.76447506056788,"Model02"
